row.id,year,exposure,nb.rb,driver.age,drv.age,driver.gender,marital.status,yrs.licensed,yrs.lic,ncd.level,region,body.code,vehicle.age,veh.age,vehicle.value,seats,ccm,hp,weight,length,width,height,fuel.type,prior.claims,clm.count,clm.incurred
1,2010,100%,RB,63,63,Male,Married,5,5,6,3,A,3,3,21.45,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
2,2010,100%,NB,33,33,Male,Married,1,1,5,38,B,3,3,17.05,3,2476,94,1670,4.795,1.74,1.965,Diesel,0,0,0
3,2010,100%,RB,68,68,Male,Married,2,2,4,33,C,2,2,17.3,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
4,2010,8%,RB,68,68,Male,Married,2,2,4,33,C,2,2,17.3,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
5,2010,100%,RB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
6,2010,8%,RB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
7,2011,100%,RB,53,53,Male,Married,5,5,4,3,E,3,3,18.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,4,0,0
8,2010,100%,RB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
9,2011,8%,RB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
10,2010,100%,RB,65,65,Male,Married,2,2,3,21,D,5,5,13.7,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
11,2010,100%,NB,40,40,Male,Widow,1,1,1,3,E,3,3,16.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
12,2010,8%,NB,58,58,Male,Married,5,5,3,36,A,1,1,20.7,5,1461,70,1205,4.45,1.993,1.64,Diesel,1,0,0
13,2010,100%,NB,58,58,Male,Married,5,5,3,36,A,2,2,19.3,5,1461,70,1205,4.45,1.993,1.64,Diesel,1,0,0
14,2010,100%,NB,37,37,Male,Married,3,3,6,20,D,5,5,15.4,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
15,2010,8%,NB,37,37,Male,Married,3,3,6,20,D,5,5,15.4,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
16,2010,100%,NB,40,40,Female,Married,3,3,4,3,E,2,2,19.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,0,0
17,2010,100%,NB,55,55,Male,Married,1,1,1,3,A,0,0,26.895,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
18,2010,100%,NB,33,33,Male,Single,1,1,1,3,D,3,3,15.3,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
19,2010,100%,RB,56,56,Male,Married,1,1,4,22,C,2,2,30.059,5,2499,136,1775,5.035,1.72,1.645,Diesel,1,0,0
20,2011,100%,NB,46,46,Male,Married,1,1,1,3,E,5,5,14.95,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
21,2010,100%,NB,53,53,Male,Married,1,1,6,3,A,3,3,25,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
22,2010,100%,NB,42,42,Male,Married,4,4,5,3,E,2,2,21.1,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
23,2010,100%,NB,37,37,Male,Married,1,1,1,3,D,2,2,15.35,6,2607,85,1530,4.71,1.69,1.965,Diesel,0,0,0
24,2010,100%,NB,29,29,Male,Married,1,1,1,28,A,2,2,23.65,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
25,2010,100%,NB,31,31,Male,Married,1,1,1,24,A,0,0,19.25,5,1598,90,1165,4.45,1.993,1.64,Gasoline,0,0,0
26,2010,8%,NB,31,31,Male,Married,1,1,1,24,A,0,0,19.25,5,1598,90,1165,4.45,1.993,1.64,Gasoline,0,0,0
27,2010,33%,NB,29,29,Male,Married,4,4,3,24,A,5,5,23.05,5,1896,105,1446,4.405,1.802,1.833,Diesel,1,0,0
28,2010,100%,NB,55,55,Male,Divorced,6,6,5,3,D,2,2,14.8,3,1398,70,1090,3.864,1.816,1.721,Diesel,2,0,0
29,2010,8%,NB,55,55,Male,Divorced,6,6,5,3,D,2,2,14.8,3,1398,70,1090,3.864,1.816,1.721,Diesel,2,0,0
30,2010,100%,NB,58,58,Male,Married,4,4,5,3,E,3,3,21,2,1997,90,1260,4.137,1.724,1.81,Diesel,0,0,0
